-4 1 1 1 1 1 1 1 
-3.96 1 0.99 0.97 0.94 0.9 0.85 0.79 
-3.92 1 0.98 0.940302 0.881508 0.804523 0.710553 0.601106 
-3.88 1 0.97 0.910905 0.824507 0.713461 0.581232 0.432038 
-3.84 1 0.96 0.881809 0.768984 0.62671 0.46162 0.281565 
-3.8 1 0.95 0.853015 0.714923 0.544165 0.351312 0.148507 
-3.76 1 0.94 0.824523 0.662308 0.465723 0.249909 0.0317241 
-3.72 1 0.93 0.796332 0.611125 0.391282 0.157024 -0.0698717 
-3.68 1 0.92 0.768442 0.561358 0.32074 0.0722765 -0.157328 
-3.64 1 0.91 0.740854 0.512992 0.253996 -0.00470155 -0.231648 
-3.6 1 0.9 0.713568 0.466012 0.190953 -0.0742708 -0.293793 
-3.56 1 0.89 0.686583 0.420402 0.131512 -0.136782 -0.344681 
-3.52 1 0.88 0.659899 0.376147 0.0755773 -0.192578 -0.385193 
-3.48 1 0.87 0.633518 0.333233 0.0230516 -0.241992 -0.416167 
-3.44 1 0.86 0.607437 0.291643 -0.0261593 -0.285349 -0.438407 
-3.4 1 0.85 0.581658 0.251363 -0.0721488 -0.322964 -0.452675 
-3.36 1 0.84 0.556181 0.212377 -0.115009 -0.355146 -0.459701 
-3.32 1 0.83 0.531005 0.17467 -0.154833 -0.382194 -0.460178 
-3.28 1 0.82 0.506131 0.138227 -0.191709 -0.404398 -0.454763 
-3.24 1 0.81 0.481558 0.103033 -0.225728 -0.42204 -0.444081 
-3.2 1 0.8 0.457287 0.0690727 -0.256977 -0.435395 -0.428725 
-3.16 1 0.79 0.433317 0.0363302 -0.285544 -0.444729 -0.409255 
-3.12 1 0.78 0.409648 0.00479048 -0.311515 -0.450301 -0.386202 
-3.08 1 0.77 0.386281 -0.0255612 -0.334974 -0.452361 -0.360065 
-3.04 1 0.76 0.363216 -0.0547404 -0.356005 -0.451151 -0.331316 
-3 1 0.75 0.340452 -0.0827623 -0.374692 -0.446907 -0.300397 
-2.96 1 0.74 0.31799 -0.109642 -0.391116 -0.439857 -0.267725 
-2.92 1 0.73 0.295829 -0.135395 -0.405357 -0.43022 -0.233688 
-2.88 1 0.72 0.27397 -0.160037 -0.417496 -0.418209 -0.198651 
-2.84 1 0.71 0.252412 -0.183582 -0.42761 -0.404029 -0.162953 
-2.8 1 0.7 0.231156 -0.206045 -0.435777 -0.387879 -0.126909 
-2.76 1 0.69 0.210201 -0.227443 -0.442073 -0.36995 -0.0908113 
-2.72 1 0.68 0.189548 -0.24779 -0.446574 -0.350426 -0.0549293 
-2.68 1 0.67 0.169196 -0.267102 -0.449353 -0.329485 -0.0195114 
-2.64 1 0.66 0.149146 -0.285394 -0.450484 -0.307298 0.0152153 
-2.6 1 0.65 0.129397 -0.30268 -0.450038 -0.284027 0.0490427 
-2.56 1 0.64 0.10995 -0.318977 -0.448087 -0.259832 0.081783 
-2.52 1 0.63 0.090804 -0.334299 -0.4447 -0.234862 0.113267 
-2.48 1 0.62 0.0719598 -0.348661 -0.439946 -0.209263 0.143342 
-2.44 1 0.61 0.0534172 -0.36208 -0.433893 -0.183173 0.171874 
-2.4 1 0.6 0.0351759 -0.37457 -0.426607 -0.156723 0.198744 
-2.36 1 0.59 0.0172363 -0.386146 -0.418154 -0.130041 0.223851 
-2.32 1 0.58 -0.000401882 -0.396823 -0.408598 -0.103246 0.247106 
-2.28 1 0.57 -0.0177386 -0.406618 -0.398002 -0.0764521 0.268436 
-2.24 1 0.56 -0.0347738 -0.415544 -0.386428 -0.0497685 0.287783 
-2.2 1 0.55 -0.0515075 -0.423618 -0.373938 -0.0232982 0.305099 
-2.16 1 0.54 -0.0679396 -0.430854 -0.360593 0.00286175 0.32035 
-2.12 1 0.53 -0.0840704 -0.437268 -0.346449 0.0286197 0.333515 
-2.08 1 0.52 -0.0998995 -0.442875 -0.331567 0.0538887 0.344583 
-2.04 1 0.51 -0.115427 -0.44769 -0.316002 0.0785879 0.353553 
-2 1 0.5 -0.130653 -0.451728 -0.29981 0.102641 0.360435 
-1.96 1 0.49 -0.145578 -0.455005 -0.283046 0.125977 0.365248 
-1.92 1 0.48 -0.160201 -0.457536 -0.265763 0.148531 0.368021 
-1.88 1 0.47 -0.174523 -0.459336 -0.248014 0.17024 0.368789 
-1.84 1 0.46 -0.188543 -0.46042 -0.229851 0.191049 0.367596 
-1.8 1 0.45 -0.202261 -0.460804 -0.211323 0.210906 0.364495 
-1.76 1 0.44 -0.215678 -0.460503 -0.19248 0.229763 0.359543 
-1.72 1 0.43 -0.228794 -0.459531 -0.17337 0.247578 0.352804 
-1.68 1 0.42 -0.241608 -0.457905 -0.15404 0.264313 0.344348 
-1.64 1 0.41 -0.254121 -0.455639 -0.134537 0.279934 0.334251 
-1.6 1 0.4 -0.266332 -0.452749 -0.114904 0.294411 0.322592 
-1.56 1 0.39 -0.278241 -0.449249 -0.0951859 0.307718 0.309456 
-1.52 1 0.38 -0.289849 -0.445156 -0.0754254 0.319834 0.294931 
-1.48 1 0.37 -0.301156 -0.440484 -0.0556643 0.330739 0.279108 
-1.44 1 0.36 -0.312161 -0.435249 -0.0359429 0.340421 0.262081 
-1.4 1 0.35 -0.322864 -0.429465 -0.0163009 0.348869 0.243948 
-1.36 1 0.34 -0.333266 -0.423149 0.00322342 0.356076 0.224808 
-1.32 1 0.33 -0.343367 -0.416315 0.0225927 0.362039 0.20476 
-1.28 1 0.32 -0.353166 -0.408978 0.0417708 0.366757 0.183909 
-1.24 1 0.31 -0.362663 -0.401154 0.0607222 0.370234 0.162355 
