2000

0	1
0.02	1
0.04	0.9996
0.06	0.9988
0.08	0.997601
0.1	0.996003
0.12	0.994006
0.14	0.991612
0.16	0.988821
0.18	0.985635
0.2	0.982054
0.22	0.978081
0.24	0.973717
0.26	0.968963
0.28	0.963822
0.3	0.958295
0.32	0.952385
0.34	0.946094
0.36	0.939424
0.38	0.932379
0.4	0.924961
0.42	0.917173
0.44	0.909018
0.46	0.9005
0.48	0.891621
0.5	0.882386
0.52	0.872799
0.54	0.862862
0.56	0.85258
0.58	0.841957
0.6	0.830997
0.62	0.819705
0.64	0.808085
0.66	0.796142
0.68	0.78388
0.7	0.771305
0.72	0.758422
0.74	0.745235
0.76	0.73175
0.78	0.717972
0.8	0.703907
0.82	0.689561
0.84	0.674939
0.86	0.660047
0.88	0.644891
0.9	0.629477
0.92	0.613811
0.94	0.5979
0.96	0.58175
0.98	0.565367
1	0.548758
1.02	0.53193
1.04	0.514888
1.06	0.497641
1.08	0.480195
1.1	0.462557
1.12	0.444733
1.14	0.426732
1.16	0.40856
1.18	0.390225
1.2	0.371734
1.22	0.353094
1.24	0.334313
1.26	0.315398
1.28	0.296357
1.3	0.277198
1.32	0.257928
1.34	0.238554
1.36	0.219085
1.38	0.199529
1.4	0.179893
1.42	0.160184
1.44	0.140412
1.46	0.120584
1.48	0.100707
1.5	0.0807899
1.52	0.0608406
1.54	0.040867
1.56	0.020877
1.58	0.000878748
1.6	-0.0191199
1.62	-0.0391109
1.64	-0.0590863
1.66	-0.079038
1.68	-0.0989581
1.7	-0.118839
1.72	-0.138672
1.74	-0.158449
1.76	-0.178163
1.78	-0.197806
1.8	-0.21737
1.82	-0.236847
1.84	-0.256229
1.86	-0.275509
1.88	-0.294678
1.9	-0.31373
1.92	-0.332656
1.94	-0.351449
1.96	-0.370102
1.98	-0.388607
2	-0.406956
2.02	-0.425142
2.04	-0.443159
2.06	-0.460998
2.08	-0.478652
2.1	-0.496116
2.12	-0.513381
2.14	-0.53044
2.16	-0.547287
2.18	-0.563916
2.2	-0.580319
2.22	-0.59649
2.24	-0.612422
2.26	-0.628109
2.28	-0.643546
2.3	-0.658724
2.32	-0.67364
2.34	-0.688286
2.36	-0.702656
2.38	-0.716746
2.4	-0.730549
2.42	-0.74406
2.44	-0.757273
2.46	-0.770184
2.48	-0.782786
2.5	-0.795075
2.52	-0.807047
2.54	-0.818695
2.56	-0.830016
2.58	-0.841005
2.6	-0.851658
2.62	-0.86197
2.64	-0.871937
2.66	-0.881556
2.68	-0.890822
2.7	-0.899732
2.72	-0.908281
2.74	-0.916468
2.76	-0.924288
2.78	-0.931738
2.8	-0.938816
2.82	-0.945518
2.84	-0.951842
2.86	-0.957786
2.88	-0.963346
2.9	-0.968521
2.92	-0.973309
2.94	-0.977708
2.96	-0.981715
2.98	-0.98533
3	-0.988551
3.02	-0.991376
3.04	-0.993805
3.06	-0.995837
3.08	-0.99747
3.1	-0.998704
3.12	-0.999539
3.14	-0.999974
3.16	-1.00001
3.18	-0.999644
3.2	-0.998879
3.22	-0.997715
3.24	-0.996152
3.26	-0.99419
3.28	-0.991831
3.3	-0.989075
3.32	-0.985923
3.34	-0.982377
3.36	-0.978439
3.38	-0.974108
3.4	-0.969389
3.42	-0.964281
3.44	-0.958788
3.46	-0.952912
3.48	-0.946654
3.5	-0.940018
3.52	-0.933006
3.54	-0.92562
3.56	-0.917865
3.58	-0.909742
3.6	-0.901256
3.62	-0.892409
3.64	-0.883205
3.66	-0.873648
3.68	-0.863742
3.7	-0.85349
3.72	-0.842897
