Simpson:
0	 -0.09714104986	 -0.09714104986
1	   0.4083851989	   0.5768939485
2	  -0.2209681412	  -0.4979290236
3	  -0.1880063997	  -0.1547412817
4	  -0.1865747211	  -0.1872519207
5	  -0.1864922827	  -0.1864826455
6	  -0.1864872311	  -0.1864869011
7	  -0.1864869169	   -0.186486896
8	  -0.1864868973	   -0.186486896


Milne:
0	   0.4420869488	   0.4420869488
1	  -0.2629250305	  -0.4979290236
2	  -0.1858089502	  -0.1375818946
3	  -0.1864792758	  -0.1892838357
4	  -0.1864867868	  -0.1864321619
5	  -0.1864868943	  -0.1864871836
6	   -0.186486896	  -0.1864868957
7	   -0.186486896	   -0.186486896
8	   -0.186486896	   -0.186486896
